Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Year,Month
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,fixtures and fittings,"people, strategy and higher education - human resources",foreign and commonwealth office (fco),144991,118.22,PSHE Non Devolved Admin-Fixtures and fittings,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,subsistence overseas,"people, strategy and higher education - human resources",foreign and commonwealth office (fco),144995,1021.14,PSHE Non Devolved Admin-Subsistence Overseas,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),144996,5.25,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),144997,5.25,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),144998,5.25,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),144999,52.41,NEWTON FUND - China-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145000,58.17,NEWTON FUND - China-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145001,236.3,NEWTON FUND - China-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145002,406.89,NEWTON FUND - China-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145003,49.66,NEWTON FUND - China-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145004,875.43,NEWTON FUND - China-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145005,369.66,NEWTON FUND - China-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145006,1449.28,NEWTON FUND - China-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145007,206.49,NEWTON FUND - China-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145008,583.41,NEWTON FUND - China-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145009,294.05,NEWTON FUND - China-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145010,3943.99,NEWTON FUND - China-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145011,66.21,NEWTON FUND - China-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145012,1647.25,NEWTON FUND - China-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145013,8083.53,NEWTON FUND - Chile-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145016,585.88,NEWTON FUND - Mexico-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145017,89.37,NEWTON FUND - Mexico-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145018,89.37,NEWTON FUND - Mexico-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145019,100.0,NEWTON FUND - Mexico-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145020,779.59,NEWTON FUND - Mexico-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145021,3.35,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145022,2.28,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145023,4.39,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145024,3.9,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145025,2.28,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145026,1.82,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145027,1.82,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145028,1.82,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145029,1.82,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145031,2.44,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145032,2.49,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145033,2.28,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145034,0.91,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145035,2.43,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145036,1.97,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145037,1.67,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145038,2.58,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145039,4.19,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145040,2.28,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145041,2.73,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145042,3486.66,NEWTON FUND - Turkey-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145043,1354.67,NEWTON FUND - Turkey-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145062,1.22,NEWTON FUND - Turkey-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145064,411.64,NEWTON FUND - Turkey-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145065,145.17,NEWTON FUND - Vietnam-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145066,169.8,NEWTON FUND - Vietnam-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145067,84.3,NEWTON FUND - Vietnam-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145068,1138.27,NEWTON FUND - Vietnam-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145069,-89.37,NEWTON FUND - Mexico-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145070,-6.72,NEWTON FUND - Mexico-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,utilities,"people, strategy and higher education - human resources",foreign and commonwealth office (fco),145779,23.22,PSHE Non Devolved Admin-Utilities,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145780,25.68,IGPF: Dangerous Surface Temperatures-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145781,417.34,IGPF: Dangerous Surface Temperatures-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,utilities,"people, strategy and higher education - human resources",foreign and commonwealth office (fco),145782,31.62,PSHE Non Devolved Admin-Utilities,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145783,1.27,NEWTON FUND - Philippines-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),145786,35.56,NEWTON FUND - Vietnam-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-20,rentals under non-pfi operating leases - buildings,"finance, commercial & digital transformation - estates",dwp (department for work and pensions),146600,8636.05,FCDT Devolved Admin-Rentals Under Non-PFI Operating Leases - Buildings,fy5 3ta,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-20,service charges,"finance, commercial & digital transformation - estates",dwp (department for work and pensions),146600,32.76,FCDT Devolved Admin-Service Charges,fy5 3ta,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-19,consultancy expenditure,"finance, commercial & digital transformation - finance directoreate",methods digital ltd,146977,78140.0,FCDT Devolved Admin-Consultancy Expenditure,ec1a 4en,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,other professional services,"people, strategy and higher education - human resources",hm revenue & customs,147684,9600.0,PSHE Non Devolved Admin-Other Professional Services,bn12 4xh,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-11,other professional services,"people, strategy and higher education - human resources",hm revenue & customs,147684,9600.0,PSHE Non Devolved Admin-Other Professional Services,bn12 4xh,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-22,hire of interim managers,"finance, commercial & digital transformation - digital directorate",esynergy solutions ltd,148928,4500.0,FCDT Devolved Admin-Hire of Interim Managers,ec3m 3jy,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-22,hire of interim managers,"finance, commercial & digital transformation - digital directorate",esynergy solutions ltd,148928,9900.0,FCDT Devolved Admin-Hire of Interim Managers,ec3m 3jy,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-07,hire of interim managers,"finance, commercial & digital transformation - digital directorate",esynergy solutions ltd,148996,16199.86,FCDT Devolved Admin-Hire of Interim Managers,ec3m 3jy,vendor,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149503,18.43,NEWTON FUND - China-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149504,457.87,NEWTON FUND - Turkey-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149505,20.31,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149509,16.44,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149510,476.56,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149511,672.56,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149512,260.35,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149513,6.37,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149514,7.14,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149515,292.08,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149516,127.74,Newton Fund - Singapore-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149517,26.46,Newton Fund - Singapore-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149518,282.08,Newton Fund - Singapore-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,fixtures and fittings,"people, strategy and higher education - human resources",foreign and commonwealth office (fco),149521,3.49,PSHE Non Devolved Admin-Fixtures and fittings,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,fixtures and fittings,"people, strategy and higher education - human resources",foreign and commonwealth office (fco),149522,16.62,PSHE Non Devolved Admin-Fixtures and fittings,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,fixtures and fittings,"people, strategy and higher education - human resources",foreign and commonwealth office (fco),149523,33.79,PSHE Non Devolved Admin-Fixtures and fittings,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,fixtures and fittings,"people, strategy and higher education - human resources",foreign and commonwealth office (fco),149524,160.92,PSHE Non Devolved Admin-Fixtures and fittings,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149525,1143.37,NEWTON FUND - Mexico-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149526,755.96,NEWTON FUND - Mexico-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149527,223.27,NEWTON FUND - Mexico-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149528,587.54,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149529,190.06,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149530,11.65,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,utilities,"people, strategy and higher education - human resources",foreign and commonwealth office (fco),149531,22.93,PSHE Non Devolved Admin-Utilities,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,utilities,"people, strategy and higher education - human resources",foreign and commonwealth office (fco),149532,31.23,PSHE Non Devolved Admin-Utilities,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149533,18.28,NEWTON FUND - Mexico-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149534,3.23,NEWTON FUND - India-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149535,3.43,NEWTON FUND - India-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149536,95.26,NEWTON FUND - India-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149537,2.68,NEWTON FUND - India-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149538,2.2,NEWTON FUND - India-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149539,6.3,NEWTON FUND - India-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149540,93.28,NEWTON FUND - India-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149541,836.92,NEWTON FUND - Mexico-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
"department for business, innovation and skills","department for business, innovation and skills",2016-07-18,current grants to private sector - npish,business and science - science and research,foreign and commonwealth office (fco),149542,1026.64,NEWTON FUND - Mexico-Current Grants To Private Sector - NPISH,mk10 1px,wga only,2016,7
